Nombre de tarea,Estado,Responsable,Fecha límite,Tipo de tarea,Resumen
Fotografías (Previa),Sin empezar,,03/05/2025 10:30 AM (CST) → 12:30 PM,Sesión Fotográfica,"Sesión fotográfica de novios programada para el 3 de mayo de 2025, con la novia de 10:30 a 11:30 a.m. y el novio de 11:30 a 12:30 p.m. Prioridad alta."
Ida a Iglesia,Sin empezar,,03/05/2025 12:30 PM (CST) → 1:00 PM,Salida a Iglesia,"Salida de los Novios hacia la iglesia: el Novio sale a las 12:30 p.m. y la Novia a las 12:40 p.m., ambos desde el Hotel ISSEMYM hacia la Iglesia de Tonatico."
Misa,Sin empezar,,03/05/2025 1:00 PM (CST) → 2:00 PM,"Ceremonia Religiosa, Llegada de Novios","Solicitud de función para incluir actualizaciones de productos en la próxima nota de la versión, con prioridad baja y nivel de esfuerzo bajo. La tarea no se inició y su fecha límite el 28 de febrero de 2025."
Fotografías (Misa),Sin empezar,,03/05/2025 2:00 PM (CST) → 2:30 PM,Sesión Fotográfica,"Sesión fotográfica programada para el 3 de mayo de 2025, de 14:00 a 14:30, con mariachi durante 30 minutos. Se tomarán fotos de los novios, familiares y padrinos."
Fotografías (Ixtamil),Sin empezar,,03/05/2025 2:30 PM (CST) → 3:30 PM,"Salida a Salón, Sesión Fotográfica",Tarea pendiente sobre fotografías en Ixtamil con fecha límite el 3 de mayo de 2025. Se requiere un resumen general y se listan subtareas sin completar. Archivos de respaldo están disponibles.
Recepción de invitados (Salón),Sin empezar,,03/05/2025 3:00 PM (CST),Recepción,Los invitados llegan y se distribuyen a sus mesas asignadas por el hostess. La tarea debe completarse antes del 3 de mayo de 2025 a las 3:00 PM (CST).
Ceremonia Civil,Sin empezar,,03/05/2025 3:30 PM (CST) → 4:00 PM,"Ceremonia Civil, Llegada de Novios","Ceremonia civil programada para el 3 de mayo de 2025, de 15:30 a 16:00, a cargo del juez cívico y los novios."
Comida,Sin empezar,,03/05/2025 4:00 PM (CST) → 6:00 PM,"Comida, Mariachis","Tarea de comida programada para comenzar el 3 de mayo de 2025 a las 4:00 PM (CST), con subtareas y archivos de respaldo pendientes."
Brindis,Sin empezar,,03/05/2025 5:30 PM (CST) → 6:00 PM,Brindis,
Intermedio,Sin empezar,,03/05/2025 6:00 PM (CST) → 7:00 PM,"Barra, Cabina Fotos, Grupo",
Continuidad Evento (Bailes de novios),Sin empezar,,03/05/2025 7:00 PM (CST) → 8:00 PM,"Ramo, Vals, Víbora",
Partida de Pastel & Intermedio,Sin empezar,,03/05/2025 8:00 PM (CST) → 8:30 PM,"Grupo, Pastel",
Esquites,Sin empezar,,03/05/2025 8:30 PM (CST),Esquites,
Fiesta,Sin empezar,,03/05/2025 8:30 PM (CST) → 9:30 PM,Fiesta,
Banda/Chinelos,Sin empezar,,03/05/2025 9:30 PM (CST) → 10:30 PM,"Banda, Chinelos",
DJ,Sin empezar,,03/05/2025 10:30 PM (CST) → 04/05/2025 12:00 AM (CST),DJ,
